brand,model,year,price,color,mileage,body_type,damage,owners,usage,service_hist
Volkswagen,Passat SE,2016,14495,Gray,31775,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan Sport,2017,22995,White,14281,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2017,12995,White,42531,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,14995,Gray,22711,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle S,2018,16787,Gray,18465,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat R-Line,2017,15995,Blue,28123,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,13995,Gray,22381,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2015,12406,White,24879,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SEL,2018,23875,White,26331,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Eos Komfort,2015,19595,Black,35544,Convertible,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,16998,Unspecified,37237,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2017,15995,White,43072,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan,2018,16995,Blue,14664,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2017,12822,Blue,36041,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan R-Line,2016,16995,Blue,29019,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,11648,Gray,23017,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Atlas SEL R-Line,2019,41757,White,9542,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan Sport,2017,22495,White,25036,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,12905,White,37232,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SEL,2019,27882,Orange,13217,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,13642,Black,29635,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S w/Technology,2016,10995,Unspecified,29970,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
